"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","71746","test_your_profile[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 09:46:28 GMT 2025","broken","Wed Aug 06 09:47:40 GMT 2025","TestYourProfile","your_profile_test","",""
"","60001","test_your_watch_history[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 09:50:41 GMT 2025","broken","Wed Aug 06 09:51:41 GMT 2025","TestYourProfile","your_profile_test","",""
"","71752","test_sign_in[chromium]","tests.sign_in","Wed Aug 06 09:45:14 GMT 2025","broken","Wed Aug 06 09:46:26 GMT 2025","TestSignIn","sign_in_test","",""
"","71741","test_search_by_keywords_category[chromium]","tests.search_bar","Wed Aug 06 09:42:29 GMT 2025","broken","Wed Aug 06 09:43:41 GMT 2025","TestSearchByKeywordsCategory","search_by_keywords_category_test","",""
"","71733","test_titles_search1[chromium]","tests.search_bar.advanced_search","Wed Aug 06 09:33:50 GMT 2025","broken","Wed Aug 06 09:35:01 GMT 2025","TestTitlesSearch1","titles_search1_test","",""
"","1527","test_imdb_pro_btn[chromium]","tests.top_nav_bar","Wed Aug 06 09:53:47 GMT 2025","passed","Wed Aug 06 09:53:49 GMT 2025","TestImdbProBtn","imdb_pro_btn_test","",""
"","71710","test_titles_search2[chromium]","tests.search_bar.advanced_search","Wed Aug 06 09:35:04 GMT 2025","broken","Wed Aug 06 09:36:16 GMT 2025","TestTitlesSearch2","titles_search2_test","",""
"","71855","test_search_by_tv_episodes_category[chromium]","tests.search_bar","Wed Aug 06 09:38:47 GMT 2025","broken","Wed Aug 06 09:39:59 GMT 2025","TestSearchByTvEpisodesCategory","search_by_category_tv_episodes_test","",""
"","71739","test_search_by_titles_category[chromium]","tests.search_bar","Wed Aug 06 09:43:47 GMT 2025","broken","Wed Aug 06 09:44:58 GMT 2025","TestSearchByTitlesCategory","search_by_titles_category_test","",""
"","71689","test_search_by_celebs_category[chromium]","tests.search_bar","Wed Aug 06 09:40:01 GMT 2025","broken","Wed Aug 06 09:41:13 GMT 2025","TestSearchByCelebsCategory","search_by_celebs_category_test","",""
"","71843","test_titles_search3[chromium]","tests.search_bar.advanced_search","Wed Aug 06 09:36:18 GMT 2025","broken","Wed Aug 06 09:37:30 GMT 2025","TestTitlesSearch3","titles_search3_test","",""
"","60001","test_account_settings[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 09:51:41 GMT 2025","broken","Wed Aug 06 09:52:41 GMT 2025","TestYourProfile","your_profile_test","",""
"","60002","test_your_watchlist[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 09:47:40 GMT 2025","broken","Wed Aug 06 09:48:40 GMT 2025","TestYourProfile","your_profile_test","",""
"","60001","test_your_list[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 09:49:41 GMT 2025","broken","Wed Aug 06 09:50:41 GMT 2025","TestYourProfile","your_profile_test","",""
"","1243","test_menu[chromium]","tests.top_nav_bar","Wed Aug 06 09:53:51 GMT 2025","passed","Wed Aug 06 09:53:52 GMT 2025","TestMenu","menu_test","",""
"","71727","test_search_by_companies_category[chromium]","tests.search_bar","Wed Aug 06 09:41:15 GMT 2025","broken","Wed Aug 06 09:42:27 GMT 2025","TestSearchByCompaniesCategory","search_by_companies_category_test","",""
"","60002","test_your_ratings[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 09:48:41 GMT 2025","broken","Wed Aug 06 09:49:41 GMT 2025","TestYourProfile","your_profile_test","",""
"","60001","test_sing_out[chromium]","tests.top_nav_bar.account_menu","Wed Aug 06 09:52:41 GMT 2025","broken","Wed Aug 06 09:53:41 GMT 2025","TestYourProfile","your_profile_test","",""
"","4093","test_sign_in_negative_no_email[chromium]","tests.sign_in","Wed Aug 06 09:45:08 GMT 2025","passed","Wed Aug 06 09:45:12 GMT 2025","TestSignInNegative","negative_test","",""
"","1794","test_imdb_btn[chromium]","tests.top_nav_bar","Wed Aug 06 09:53:43 GMT 2025","passed","Wed Aug 06 09:53:45 GMT 2025","TestImdbBtn","imdb_btn_test","",""
"","71784","test_search_by_all_category[chromium]","tests.search_bar","Wed Aug 06 09:37:32 GMT 2025","broken","Wed Aug 06 09:38:44 GMT 2025","TestSearchByAllCategory","search_by_all_category_test","",""
"","6779","test_sign_in_negative_no_password[chromium]","tests.sign_in","Wed Aug 06 09:45:01 GMT 2025","passed","Wed Aug 06 09:45:08 GMT 2025","TestSignInNegative","negative_test","",""
